Date,Open,High,Low,Close,Adj Close,Volume
2020-04-20,69.487503,70.419998,69.212502,69.232498,67.697662,130015200
2020-04-21,69.070000,69.312500,66.357498,67.092499,65.605087,180991600
2020-04-22,68.402496,69.474998,68.050003,69.025002,67.494751,116862400
2020-04-23,68.967499,70.437500,68.717499,68.757500,67.233192,124814400
2020-04-24,69.300003,70.752502,69.250000,70.742500,69.174187,126161200
2020-04-27,70.449997,71.135002,69.987503,70.792503,69.223076,117087600
2020-04-28,71.269997,71.457497,69.550003,69.644997,68.101013,112004800
2020-04-29,71.182503,72.417503,70.972504,71.932503,70.337807,137280800
2020-04-30,72.489998,73.632500,72.087502,73.449997,71.821663,183064000
2020-05-01,71.562500,74.750000,71.462502,72.267502,70.665405,240616800
2020-05-04,72.292503,73.422501,71.580002,73.290001,71.665215,133568000
2020-05-05,73.764999,75.250000,73.614998,74.389999,72.740837,147751200
2020-05-06,75.114998,75.809998,74.717499,75.157501,73.491310,142333600
2020-05-07,75.805000,76.292503,75.492500,75.934998,74.251572,115215200
2020-05-08,76.410004,77.587502,76.072502,77.532501,76.018890,133838400
2020-05-11,77.025002,79.262497,76.809998,78.752502,77.215065,145946400
2020-05-12,79.457497,79.922501,77.727501,77.852501,76.332634,162301200
2020-05-13,78.037498,78.987503,75.802498,76.912498,75.410973,200622400
2020-05-14,76.127502,77.447502,75.382500,77.385002,75.874252,158929200
2020-05-15,75.087502,76.974998,75.052498,76.927498,75.425697,166348400
2020-05-18,78.292503,79.125000,77.580002,78.739998,77.202827,135178400
2020-05-19,78.757500,79.629997,78.252502,78.285004,76.756699,101729600
2020-05-20,79.169998,79.879997,79.129997,79.807503,78.249496,111504800
2020-05-21,79.665001,80.222504,78.967499,79.212502,77.666084,102688800
2020-05-22,78.942497,79.807503,78.837502,79.722504,78.166130,81803200
2020-05-26,80.875000,81.059998,79.125000,79.182503,77.636696,125522000
2020-05-27,79.035004,79.677498,78.272499,79.527496,77.974945,112945200
2020-05-28,79.192497,80.860001,78.907501,79.562500,78.009270,133560800
2020-05-29,79.812500,80.287498,79.117500,79.485001,77.933273,153532400
2020-06-01,79.437500,80.587502,79.302498,80.462502,78.891693,80791200
2020-06-02,80.187500,80.860001,79.732498,80.834999,79.256897,87642800
2020-06-03,81.165001,81.550003,80.574997,81.279999,79.693237,104491200
2020-06-04,81.097504,81.404999,80.195000,80.580002,79.006905,87560400
2020-06-05,80.837502,82.937500,80.807503,82.875000,81.257095,137250400
2020-06-08,82.562500,83.400002,81.830002,83.364998,81.737511,95654400
2020-06-09,83.035004,86.402496,83.002502,85.997498,84.318634,147712400
2020-06-10,86.974998,88.692497,86.522499,88.209999,86.487946,166651600
2020-06-11,87.327499,87.764999,83.870003,83.974998,82.335617,201662400
2020-06-12,86.180000,86.949997,83.555000,84.699997,83.046463,200146000
2020-06-15,83.312500,86.419998,83.144997,85.747498,84.073517,138808800
2020-06-16,87.864998,88.300003,86.180000,88.019997,86.301659,165428800
2020-06-17,88.787498,88.849998,87.772499,87.897499,86.181541,114406400
2020-06-18,87.852501,88.362503,87.305000,87.932503,86.215851,96820400
2020-06-19,88.660004,89.139999,86.287498,87.430000,85.723160,264476000
2020-06-22,87.834999,89.864998,87.787498,89.717499,87.966003,135445200
2020-06-23,91.000000,93.095001,90.567497,91.632500,89.843636,212155600
2020-06-24,91.250000,92.197502,89.629997,90.014999,88.257713,192623200
2020-06-25,90.175003,91.250000,89.392502,91.209999,89.429375,137522400
2020-06-26,91.102501,91.330002,88.254997,88.407501,86.681580,205256800
2020-06-29,88.312500,90.542503,87.820000,90.445000,88.679314,130646000
2020-06-30,90.019997,91.495003,90.000000,91.199997,89.419579,140223200
2020-07-01,91.279999,91.839996,90.977501,91.027496,89.250427,110737200
2020-07-02,91.962502,92.617500,90.910004,91.027496,89.250427,114041600
2020-07-06,92.500000,93.945000,92.467499,93.462502,91.637894,118655600
2020-07-07,93.852501,94.654999,93.057503,93.172501,91.353561,112424400
2020-07-08,94.180000,95.375000,94.089996,95.342499,93.481194,117092000
2020-07-09,96.262497,96.317497,94.672501,95.752502,93.883194,125642800
2020-07-10,95.334999,95.980003,94.705002,95.919998,94.047424,90257200
2020-07-13,97.264999,99.955002,95.257500,95.477501,93.613564,191649200
2020-07-14,94.839996,97.254997,93.877502,97.057503,95.162727,170989200
2020-07-15,98.989998,99.247498,96.489998,97.724998,95.817177,153198000
2020-07-16,96.562500,97.404999,95.904999,96.522499,94.638153,110577600
2020-07-17,96.987503,97.147499,95.839996,96.327499,94.446953,92186800
2020-07-20,96.417503,98.500000,96.062500,98.357498,96.437332,90318000
2020-07-21,99.172501,99.250000,96.742500,97.000000,95.106331,103433200
2020-07-22,96.692497,97.974998,96.602501,97.272499,95.373505,89001600
2020-07-23,96.997498,97.077499,92.010002,92.845001,91.032463,197004400
2020-07-24,90.987503,92.970001,89.144997,92.614998,90.806931,185438800
2020-07-27,93.709999,94.904999,93.480003,94.809998,92.959084,121214000
2020-07-28,94.367500,94.550003,93.247498,93.252502,91.431999,103625600
2020-07-29,93.750000,95.230003,93.712502,95.040001,93.184601,90329200
2020-07-30,94.187500,96.297501,93.767502,96.190002,94.312157,158130000
2020-07-31,102.885002,106.415001,100.824997,106.260002,104.185570,374336800
2020-08-03,108.199997,111.637497,107.892502,108.937500,106.810791,308151200
2020-08-04,109.132500,110.790001,108.387497,109.665001,107.524094,173071600
2020-08-05,109.377502,110.392502,108.897499,110.062500,107.913826,121776800
2020-08-06,110.404999,114.412498,109.797501,113.902496,111.678864,202428800
2020-08-07,113.205002,113.675003,110.292503,111.112503,109.139748,198045600
2020-08-10,112.599998,113.775002,110.000000,112.727501,110.726089,212403600
2020-08-11,111.970001,112.482498,109.107498,109.375000,107.433105,187902400
2020-08-12,110.497498,113.275002,110.297501,113.010002,111.003555,165598000
2020-08-13,114.430000,116.042503,113.927498,115.010002,112.968040,210082000
2020-08-14,114.830002,115.000000,113.044998,114.907501,112.867378,165565200
2020-08-17,116.062500,116.087502,113.962502,114.607498,112.572716,119561600
2020-08-18,114.352501,116.000000,114.007500,115.562500,113.510757,105633600
2020-08-19,115.982498,117.162498,115.610001,115.707497,113.653160,145538000
2020-08-20,115.750000,118.392502,115.732498,118.275002,116.175110,126907200
2020-08-21,119.262497,124.867500,119.250000,124.370003,122.161873,338054800
2020-08-24,128.697495,128.785004,123.937500,125.857498,123.622978,345937600
2020-08-25,124.697502,125.180000,123.052498,124.824997,122.608788,211495600
2020-08-26,126.180000,126.992500,125.082497,126.522499,124.276154,163022400
2020-08-27,127.142502,127.485001,123.832497,125.010002,122.790520,155552400
2020-08-28,126.012497,126.442497,124.577499,124.807503,122.591614,187630000
2020-08-31,127.580002,131.000000,126.000000,129.039993,126.748940,225702700
2020-09-01,132.759995,134.800003,130.529999,134.179993,131.797714,151948100
2020-09-02,137.589996,137.979996,127.000000,131.399994,129.067047,200119000
2020-09-03,126.910004,128.839996,120.500000,120.879997,118.733841,257599600
2020-09-04,120.070000,123.699997,110.889999,120.959999,118.812424,332607200
2020-09-08,113.949997,118.989998,112.680000,112.820000,110.816925,231366600
2020-09-09,117.260002,119.139999,115.260002,117.320000,115.237053,176940500
2020-09-10,120.360001,120.500000,112.500000,113.489998,111.475044,182274400
2020-09-11,114.570000,115.230003,110.000000,112.000000,110.011497,180860300
2020-09-14,114.720001,115.930000,112.800003,115.360001,113.311844,140150100
2020-09-15,118.330002,118.830002,113.610001,115.540001,113.488640,184642000
2020-09-16,115.230003,116.000000,112.040001,112.129997,110.139191,154679000
2020-09-17,109.720001,112.199997,108.709999,110.339996,108.380966,178011000
2020-09-18,110.400002,110.879997,106.089996,106.839996,104.943100,287104900
2020-09-21,104.540001,110.190002,103.099998,110.080002,108.125587,195713800
2020-09-22,112.680000,112.860001,109.160004,111.809998,109.824883,183055400
2020-09-23,111.620003,112.110001,106.769997,107.120003,105.218140,150718700
2020-09-24,105.169998,110.250000,105.000000,108.220001,106.298599,167743300
2020-09-25,108.430000,112.440002,107.669998,112.279999,110.286530,149981400
2020-09-28,115.010002,115.320000,112.779999,114.959999,112.918945,137672400
2020-09-29,114.550003,115.309998,113.570000,114.089996,112.064384,99382200
2020-09-30,113.790001,117.260002,113.620003,115.809998,113.753845,142675200
2020-10-01,117.639999,117.720001,115.830002,116.790001,114.716469,116120400
2020-10-02,112.889999,115.370003,112.220001,113.019997,111.013382,144712000
2020-10-05,113.910004,116.650002,113.550003,116.500000,114.431595,106243800
2020-10-06,115.699997,116.120003,112.250000,113.160004,111.150902,161498200
2020-10-07,114.620003,115.550003,114.129997,115.080002,113.036827,96849000
2020-10-08,116.250000,116.400002,114.589996,114.970001,112.928764,83477200
2020-10-09,115.279999,117.000000,114.919998,116.970001,114.893257,100506900
2020-10-12,120.059998,125.180000,119.279999,124.400002,122.191353,240226800
2020-10-13,125.269997,125.389999,119.650002,121.099998,118.949921,262330500
2020-10-14,121.000000,123.029999,119.620003,121.190002,119.038338,150712000
2020-10-15,118.720001,121.199997,118.150002,120.709999,118.566856,112559200
2020-10-16,121.279999,121.550003,118.809998,119.019997,116.906868,115393800
2020-10-19,119.959999,120.419998,115.660004,115.980003,113.920822,120639300
2020-10-20,116.199997,118.980003,115.629997,117.510002,115.423668,124423700
2020-10-21,116.669998,118.709999,116.449997,116.870003,114.795029,89946000
